1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
5,6
1,2
3,4
5,6
5,6
1,2
3,4
5,6
1,3
1,4
1,5
1,6
1,7
1,8
1,9
2,5
2,6
3,7
4,6
5,2
6,1
7,2
8,1
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
5,6
1,2
3,4
5,6
5,6
1,2
3,4
5,6
1,3
1,4
1,5
1,6
1,7
1,8
1,9
2,5
2,6
3,7
4,6
5,2
6,1
7,2
8,1
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
5,6
1,2
3,4
5,6
5,6
1,2
3,4
5,6
1,3
1,4
1,5
1,6
1,7
1,8
1,9
2,5
2,6
3,7
4,6
5,2
6,1
7,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
5,6
1,2
3,4
5,6
5,6
1,2
3,4
5,6
1,3
1,4
1,5
1,6
1,7
1,8
1,9
2,5
2,6
3,7
4,6
5,2
6,1
7,2
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
5,6
1,2
3,4
5,6
5,6
1,2
3,4
5,6
1,3
1,4
1,5
1,6
1,7
1,8
1,9
2,5
2,6
3,7
4,6
5,2
6,1
7,2
8,1
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
5,6
1,2
3,4
5,6
5,6
1,2
3,4
5,6
1,3
1,4
1,5
1,6
1,7
1,8
1,9
2,5
2,6
3,7
4,6
5,2
6,1
7,2
8,1
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
5,6
1,2
3,4
5,6
5,6
1,2
3,4
5,6
1,3
1,4
1,5
1,6
1,7
1,8
1,9
2,5
2,6
3,7
4,6
5,2
6,1
7,2
8,1
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
5,6
1,2
3,4
5,6
5,6
1,2
3,4
5,6
1,3
1,4
1,5
1,6
1,7
1,8
1,9
2,5
2,6
3,7
4,6
5,2
6,1
7,2
8,1
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
5,6
1,2
3,4
5,6
5,6
1,2
3,4
5,6
1,3
1,4
1,5
1,6
1,7
1,8
1,9
2,5
2,6
3,7
4,6
5,2
6,1
7,2
8,1
8,1
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
5,6
1,2
3,4
5,6
5,6
1,2
3,4
5,6
1,3
1,4
1,5
1,6
1,7
1,8
1,9
2,5
2,6
3,7
4,6
5,2
6,1
7,2
8,1
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
5,6
1,2
3,4
5,6
5,6
1,2
3,4
5,6
1,3
1,4
1,5
1,6
1,7
1,8
1,9
2,5
2,6
3,7
4,6
5,2
6,1
7,2
8,1
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
5,6
1,2
3,4
5,6
5,6
1,2
3,4
5,6
1,3
1,4
1,5
1,6
1,7
1,8
1,9
2,5
2,6
3,7
4,6
5,2
6,1
7,2
8,1
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
5,6
1,2
3,4
5,6
5,6
1,2
3,4
5,6
1,3
1,4
1,5
1,6
1,7
1,8
1,9
2,5
2,6
3,7
4,6
5,2
6,1
7,2
8,1
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
5,6
1,2
3,4
5,6
5,6
1,2
3,4
5,6
1,3
1,4
1,5
1,6
1,7
1,8
1,9
2,5
2,6
3,7
4,6
5,2
6,1
7,2
8,1
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
5,6
1,2
3,4
5,6
5,6
1,2
3,4
5,6
1,3
1,4
1,5
1,6
1,7
1,8
1,9
2,5
2,6
3,7
4,6
5,2
6,1
7,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
1,2
3,4
5,6
5,6
1,2
3,4
